,Date,Index,Value
414,14/06/2018,YENN,7.03%
415,14/06/2018,BTC,57.72%
416,15/06/2018,GBP,5.82%
417,15/06/2018,EUR,9.78%
418,15/06/2018,YENN,7.14%
419,15/06/2018,BTC,57.71%
420,18/06/2018,GBP,5.86%
421,18/06/2018,EUR,9.85%
422,18/06/2018,YENN,6.98%
423,18/06/2018,BTC,59.73%
424,19/06/2018,GBP,5.82%
425,19/06/2018,EUR,9.92%
426,19/06/2018,YENN,7.13%
427,19/06/2018,BTC,59.01%
428,20/06/2018,GBP,6.08%
429,20/06/2018,EUR,9.92%
430,20/06/2018,YENN,7.12%
431,20/06/2018,BTC,57.68%
432,21/06/2018,GBP,6.07%
433,21/06/2018,EUR,9.92%
434,21/06/2018,YENN,7.15%
435,21/06/2018,BTC,54.25%
436,22/06/2018,GBP,6.25%
437,22/06/2018,EUR,9.74%
438,22/06/2018,YENN,6.73%
439,22/06/2018,BTC,63.35%
440,25/06/2018,GBP,6.26%
441,25/06/2018,EUR,9.89%
442,25/06/2018,YENN,6.47%
443,25/06/2018,BTC,64.63%
444,26/06/2018,GBP,5.99%
445,26/06/2018,EUR,9.93%
446,26/06/2018,YENN,6.47%
447,26/06/2018,BTC,63.42%
448,27/06/2018,GBP,6.16%
449,27/06/2018,EUR,9.88%
450,27/06/2018,YENN,6.58%
451,27/06/2018,BTC,60.76%
452,28/06/2018,GBP,6.50%
453,28/06/2018,EUR,9.87%
454,28/06/2018,YENN,5.61%
455,28/06/2018,BTC,61.82%
456,29/06/2018,GBP,6.50%
457,29/06/2018,EUR,9.03%
458,29/06/2018,YENN,5.59%
459,29/06/2018,BTC,65.14%
460,02/07/2018,GBP,7.51%
461,02/07/2018,EUR,9.69%
462,02/07/2018,YENN,5.60%
463,02/07/2018,BTC,69.46%
464,03/07/2018,GBP,7.40%
465,03/07/2018,EUR,9.73%
466,03/07/2018,YENN,5.01%
467,03/07/2018,BTC,69.49%
468,04/07/2018,GBP,7.52%
469,04/07/2018,EUR,9.69%
470,04/07/2018,YENN,5.16%
471,04/07/2018,BTC,69.29%
472,05/07/2018,GBP,7.15%
473,05/07/2018,EUR,9.65%
474,05/07/2018,YENN,5.15%
475,05/07/2018,BTC,69.37%
476,06/07/2018,GBP,7.13%
477,06/07/2018,EUR,9.53%
478,06/07/2018,YENN,5.10%
479,06/07/2018,BTC,69.41%
480,09/07/2018,GBP,7.44%
481,09/07/2018,EUR,9.69%
482,09/07/2018,YENN,4.91%
483,09/07/2018,BTC,69.65%
484,10/07/2018,GBP,7.50%
485,10/07/2018,EUR,9.69%
486,10/07/2018,YENN,5.05%
487,10/07/2018,BTC,64.54%
488,11/07/2018,GBP,7.45%
489,11/07/2018,EUR,9.72%
490,11/07/2018,YENN,4.17%
491,11/07/2018,BTC,62.66%
492,12/07/2018,GBP,7.53%
493,12/07/2018,EUR,9.80%
494,12/07/2018,YENN,5.41%
495,12/07/2018,BTC,62.08%
496,13/07/2018,GBP,7.53%
497,13/07/2018,EUR,9.61%
498,13/07/2018,YENN,5.66%
499,13/07/2018,BTC,59.28%
500,16/07/2018,GBP,6.96%
501,16/07/2018,EUR,6.26%
502,16/07/2018,YENN,5.69%
503,16/07/2018,BTC,64.42%
504,17/07/2018,GBP,6.94%
505,17/07/2018,EUR,6.26%
506,17/07/2018,YENN,5.69%
507,17/07/2018,BTC,68.93%
508,18/07/2018,GBP,7.72%
509,18/07/2018,EUR,6.45%
510,18/07/2018,YENN,5.62%
511,18/07/2018,BTC,68.94%
512,19/07/2018,GBP,7.44%
513,19/07/2018,EUR,6.31%
514,19/07/2018,YENN,5.70%
515,19/07/2018,BTC,68.99%
516,20/07/2018,GBP,7.56%
517,20/07/2018,EUR,6.30%
518,20/07/2018,YENN,5.92%
519,20/07/2018,BTC,69.23%
520,23/07/2018,GBP,8.07%
521,23/07/2018,EUR,6.74%
522,23/07/2018,YENN,7.22%
523,23/07/2018,BTC,59.18%
524,24/07/2018,GBP,8.12%
525,24/07/2018,EUR,6.74%
526,24/07/2018,YENN,7.30%
527,24/07/2018,BTC,64.80%
528,25/07/2018,GBP,8.24%
529,25/07/2018,EUR,6.63%
530,25/07/2018,YENN,7.26%
531,25/07/2018,BTC,65.13%
532,26/07/2018,GBP,8.22%
533,26/07/2018,EUR,6.60%
534,26/07/2018,YENN,7.29%
535,26/07/2018,BTC,66.77%
536,27/07/2018,GBP,8.14%
537,27/07/2018,EUR,6.69%
538,27/07/2018,YENN,7.33%
539,27/07/2018,BTC,63.92%
540,30/07/2018,GBP,8.05%
541,30/07/2018,EUR,6.70%
542,30/07/2018,YENN,7.33%
543,30/07/2018,BTC,62.65%
544,31/07/2018,GBP,7.22%
545,31/07/2018,EUR,5.91%
546,31/07/2018,YENN,7.30%
547,31/07/2018,BTC,63.68%
548,01/08/2018,GBP,7.04%
549,01/08/2018,EUR,5.82%
550,01/08/2018,YENN,7.71%
551,01/08/2018,BTC,64.03%
552,02/08/2018,GBP,6.90%
553,02/08/2018,EUR,5.85%
554,02/08/2018,YENN,7.57%
555,02/08/2018,BTC,64.22%
556,03/08/2018,GBP,7.34%
557,03/08/2018,EUR,6.32%
558,03/08/2018,YENN,7.57%
559,03/08/2018,BTC,64.77%
