Name,id,2008-01,2020-08,2022-06
Whatcom County,458,1.7,0.6,0.3
Yakima County,459,3.1,0.8,1
Berkeley County,460,4.4,1.5,1.6
Kanawha County,461,3.8,1.7,2.2
Brown County,462,2.2,0.7,0.4
Dane County,463,1.2,0.4,0.5
Kenosha County,464,3.6,0.7,0.7
Milwaukee County,465,3.4,1,0.9
Outagamie County,466,1.6,0.6,0.2
Racine County,467,2.8,0.9,1.1
Rock County,468,3.4,0.8,1
Washington County,469,1.4,0.5,0.1
Waukesha County,470,1.8,0.3,0.4
Winnebago County,471,2.1,0.9,0.4
