Name,2008-02,2020-01,2022-06
"Tuscaloosa, AL",3.4,3.5,1.6
"Tyler, TX",4,2.8,1.1
"Urban Honolulu, HI",1.4,1,0.5
"Utica-Rome, NY",4.2,2.7,1.2
"Vallejo-Fairfield, CA",3.7,1.3,0.8
"Virginia Beach-Norfolk-Newport News, VA-NC",3,2.6,1.1
"Visalia-Porterville, CA",3.6,2.2,1.4
"Waco, TX",4.5,2.9,0.9
"Warner Robins, GA",3.4,3.1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.9,2,0.8
"Waterloo-Cedar Falls, IA",2.9,1.7,0.8
"Wichita, KS",2.9,2.6,0.8
"Wilmington, NC",3.3,1.9,0.8
"Winston-Salem, NC",3.7,2.8,1.6
"Worcester, MA-CT",3,2.6,1.2
"Yakima, WA",1.9,1.4,1
"York-Hanover, PA",2.9,3.2,1.3
"Youngstown-Warren-Boardman, OH-PA",3.3,2.7,1.3
"Yuba City, CA",3.8,1.8,1
"Yuma, AZ",4.6,3.9,1.4
Alabama,4.6,3.8,2.1
Alaska,1.4,1.3,0.8
Arizona,2.7,2,1
Arkansas,3.8,3.8,1.9
California,2.1,1.5,0.5
Colorado,1.8,1.2,0.8
Connecticut,2.6,2.9,1.2
Florida,4.3,2.9,1.3
Georgia,4.3,3.8,1.6
Hawaii,2.4,1.6,0.6
Idaho,2.8,2.3,1
Illinois,3,2.8,1.6
Indiana,3.8,3,1.4
Iowa,3,2.1,1.1
Kansas,2.8,2.9,1.5
Kentucky,3.9,3.5,1.6
Louisiana,3.7,4.7,2.4
Maine,3.3,2.9,1.1
Maryland,2.8,2.8,1.3
Michigan,3.5,2.5,1.2
Minnesota,2.7,2,0.9
Mississippi,5,5,2.6
Missouri,3.6,2.9,1.6
Montana,2.2,1.8,0.8
Nebraska,2,1.9,1
Nevada,2.3,1.9,0.6
New Hampshire,3,2.1,1.1
New Mexico,3.1,2.8,1.1
New York,3.3,2.9,1.3
North Carolina,4.1,3.4,1.3
North Dakota,1.6,1.8,0.9
Ohio,3.3,2.6,1.4
Oklahoma,3.1,3.2,1.6
Oregon,1.9,1.5,0.8
Pennsylvania,3.9,3.1,1.8
South Carolina,4.3,4.4,2.1
South Dakota,1.6,1.4,0.5
Tennessee,3.7,3.3,1.5
Texas,4.1,3.8,1.9
Utah,2.3,1.7,1.1
Vermont,2.2,2,0.8
Virginia,2.6,2,0.8
Washington,1.9,1.3,0.6
West Virginia,4.2,3.5,1.7
Wisconsin,2,1.6,0.7
Wyoming,1.6,2,1.2
