fips,value
29127,1.01
29129,1.82
29131,3.43
29133,1.58
29135,3.43
29137,2.61
29139,2.61
29141,
29143,0.78
29145,1.82
29147,1.01
29149,3.43
29151,2.61
29153,
29155,1.58
29157,1.82
29159,1.19
29161,1.37
29163,1.58
29165,2.15
29167,3.43
29169,2.61
29171,2.15
29173,1.37
29175,1.58
29177,
29179,3.43
29181,
29183,3.43
29185,1.82
29186,1.37
29187,2.15
29189,1.37
29195,2.61
29197,1.01
29199,3.43
29201,1.82
29203,
29205,1.82
29207,1.82
29209,
29211,0.78
29213,1.82
29215,2.15
29217,2.15
29219,
29221,3.43
29223,1.82
29225,
29227,1.37
29229,3.43
29510,0.78
30001,2.61
30003,1.37
30005,1.82
30007,3.43
30009,
30011,1.01
30013,2.15
30015,3.43
30017,1.19
30019,1.19
30021,1.01
30023,2.15
30025,0.78
30027,
30029,3.43
30031,3.43
30033,1.37
30035,1.37
30037,1.37
30039,2.15
30041,1.37
30043,
30045,1.58
30047,
30049,1.37
30051,0.78
30053,3.43
30055,0.78
30057,2.15
30059,2.15
30061,
30063,2.15
30065,
30067,3.43
30069,1.58
30071,1.01
30073,1.19
30075,2.61
30077,1.58
30079,
30081,
30083,0.78
30085,1.19
30087,0.78
30089,3.43
30091,1.01
30093,1.19
30095,2.15
30097,0.78
30099,2.15
30101,1.82
30103,2.61
30105,1.82
30107,1.01
30109,0.78
30111,1.58
31001,1.01
31003,0.78
31005,0.78
31007,2.61
31009,
31011,1.37
31013,1.82
31015,1.01
31017,1.19
31019,1.37
31021,3.43
31023,1.37
31025,
31027,1.58
31029,3.43
31031,3.43
31033,1.01
31035,1.01
31037,1.01
31039,2.61
31041,1.01
31043,1.37
31045,2.61
31047,1.01
31049,1.82
31051,3.43
31053,1.58
31055,1.19
31057,3.43
31059,1.19
31061,2.15
31063,0.78
31065,1.58
31067,1.37
31069,0.78
31071,0.78
31073,
31075,
31077,0.78
31079,1.01
31081,2.61
31083,2.61
31085,
31087,0.78
31089,1.58
31091,2.15
31093,
31095,1.37
31097,1.37
31099,2.15
31101,2.15
31103,1.82
31105,1.58
31107,3.43
31109,1.37
31111,2.15
31113,0.78
31115,1.19
31117,1.01
31119,1.19
31121,2.61
31123,2.61
31125,1.19
31127,0.78
31129,2.61
31131,2.15
31133,1.19
31135,1.82
31137,1.19
31139,1.58
31141,1.01
31143,1.82
31145,2.61
31147,0.78
31149,0.78
31151,1.01
31153,2.61
31155,3.43
31157,1.01
31159,1.82
31161,2.15
31163,
31165,0.78
31167,1.01
31169,0.78
31171,1.19
31173,0.78
31175,0.78
31177,2.15
31179,
31181,
31183,0.78
31185,0.78
32001,3.43
32003,3.43
32005,
32007,1.82
32009,1.82
32011,0.78
32013,1.82
32015,1.19
32017,1.58
32019,
32021,0.78
32023,2.61
32027,1.82
32029,3.43
32031,3.43
32033,0.78
32510,2.15
33001,3.43
33003,2.61
33005,2.15
33007,1.58
33009,1.19
33011,1.82
33013,2.15
33015,3.43
33017,2.61
33019,2.61
34001,1.82
34003,2.15
34005,2.61
34007,2.15
34009,
34011,1.58
34013,1.58
34015,3.43
34017,1.19
34019,
34021,1.19
34023,1.58
34025,3.43
34027,1.82
34029,
34031,2.61
34033,2.15
34035,1.82
34037,
34039,1.82
34041,3.43
35001,1.82
35003,
35005,1.37
35006,1.37
35007,2.61
35009,1.82
35011,1.82
35013,1.82
35015,1.01
35017,1.58
35019,3.43
35021,0.78
35023,1.19
35025,0.78
35027,
35028,1.01
35029,1.37
35031,1.37
35033,2.15
35035,3.43
35037,2.61
35039,3.43
35041,2.15
35043,
35045,1.37
35047,1.82
35049,3.43
35051,2.61
35053,1.37
35055,1.82
35057,3.43
35059,1.01
35061,
36001,1.01
36003,1.58
36005,2.15
36007,1.19
36009,1.19
36011,1.58
36013,1.19
36015,1.19
36017,1.58
36019,1.37
36021,2.61
36023,1.19
36025,1.82
36027,2.61
36029,1.19
36031,1.58
36033,1.37
36035,1.37
36037,1.37
36039,2.61
36041,2.15
36043,2.15
36045,1.37
36047,3.43
36049,2.15
36051,2.61
36053,2.61
36055,1.19
36057,1.58
36059,3.43
36061,0.78
36063,1.82
36065,1.19
36067,1.01
36069,1.82
36071,3.43
36073,2.15
36075,1.82
36077,1.37
36079,
36081,3.43
36083,2.15
36085,
36087,3.43
36089,1.37
36091,3.43
36093,1.58
36095,1.82
36097,2.15
36099,1.58
36101,1.01
36103,3.43
36105,2.15
36107,1.82
36109,1.37
36111,3.43
36113,1.58
36115,2.15
36117,2.15
36119,2.15
36121,1.19
36123,1.82
37001,2.15
37003,3.43
37005,2.15
37007,2.15
37009,2.61
37011,2.15
37013,1.82
37015,1.58
37017,1.37
37019,
37021,2.15
37023,1.82
37025,3.43
37027,2.15
37029,
37031,3.43
37033,
37035,1.58
37037,
37039,2.61
37041,2.15
37043,
37045,1.82
37047,1.58
37049,1.82
37051,2.61
37053,
37055,
37057,3.43
37059,
37061,1.19
37063,0.78
37065,1.37
37067,1.58
37069,
37071,2.61
37073,
37075,2.61
37077,2.15
37079,3.43
37081,1.58
37083,2.61
37085,3.43
37087,3.43
37089,2.61
37091,1.58
37093,
37095,2.61
37097,3.43
37099,2.61
37101,3.43
37103,3.43
37105,1.37
37107,1.58
37109,
37111,2.15
37113,
37115,
37117,1.19
37119,1.37
37121,2.61
37123,1.58
37125,3.43
37127,1.58
37129,2.15
37131,2.61
37133,
37135,2.15
37137,3.43
37139,2.15
37141,
37143,
37145,3.43
37147,1.82
37149,3.43
37151,2.15
37153,1.58
37155,1.37
37157,2.61
37159,1.82
37161,2.61
37163,1.58
37165,2.15
37167,2.15
37169,
37171,1.82
37173,1.01
37175,
37177,2.61
37179,
37181,1.37
37183,2.15
37185,
37187,3.43
